nombre,direccion,telefono,categoria,ubicacion,valoracion,num_reseñas,tiene_web,website,google_maps_link,tipo,estado,fecha_generacion,fecha_contacto,url_demo,notas
Carpinteria de Alumino J.Julve S.L.,"alujulve@hotmail.com, Av. del Carrilet, 104, 08902 L'Hospitalet de Llobregat, Barcelona, España",+34 933 31 61 38,carpintero aluminio,L'Hospitalet de Llobregat,4.8,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/carpinteria-de-alumino-jjulve-sl/,
Carpintería de Aluminio Miguel Angel Calso,"Carrer Mina, 69, 08906 L'Hospitalet de Llobregat, Barcelona, España",+34 934 37 08 54,carpintero aluminio,L'Hospitalet de Llobregat,4.8,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/carpintería-de-aluminio-miguel-angel-calso/,
Carpintería de Aluminio Hnos. Paredes,"Avinguda d'Isabel la Catòlica, 97, 08906 L'Hospitalet de Llobregat, Barcelona, España",+34 934 37 76 20,carpintero aluminio,L'Hospitalet de Llobregat,4.6,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/carpintería-de-aluminio-hnos-paredes/,
Carpinteria de aluminio Aluvizu Decor,"Carrer Orient, 11, 08904 L'Hospitalet de Llobregat, Barcelona, España",+34 934 49 75 82,carpintero aluminio,L'Hospitalet de Llobregat,3.9,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/carpinteria-de-aluminio-aluvizu-decor/,
Aluminios Guerrero BCN,"Carrer de l'Estronci, 51, 08906 L'Hospitalet de Llobregat, Barcelona, España",+34 677 73 26 35,carpintero aluminio,L'Hospitalet de Llobregat,4,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/aluminios-guerrero-bcn/,
Carpintería Aluminio Parras,"Carrer de Sanfeliu, 17, 08906 L'Hospitalet de Llobregat, Barcelona, España",+34 932 60 14 06,carpintero aluminio,L'Hospitalet de Llobregat,4.1,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/carpintería-aluminio-parras/,
MONTAJE CMG 2022 S.L,"Avinguda de Can Serra, 92, bajo E1, 08906 L'Hospitalet de Llobregat, Barcelona, España",+34 611 70 29 38,carpintero aluminio,L'Hospitalet de Llobregat,3.5,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/montaje-cmg-2022-sl/,
Carpintería José Ferreiro,"Ronda de la Via, 59, 08903 L'Hospitalet de Llobregat, Barcelona, España",+34 933 32 32 09,carpintero aluminio,L'Hospitalet de Llobregat,5,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/carpintería-josé-ferreiro/,
Fontanería Pompeya 24h.,"Av. de Catalunya, 73-77, Local 1, 08905 L'Hospitalet de Llobregat, Barcelona, España",+34 631 46 61 67,fontanero,L'Hospitalet de Llobregat,4.5,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/fontanería-pompeya-24h/,
Mi espacio int,"Carrer Provença, 52-56, 08901 L'Hospitalet de Llobregat, Barcelona, España",+34 634 13 63 32,fontanero,L'Hospitalet de Llobregat,5,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/mi-espacio-int/,
Fontanero en bellvitge,"Rambla de la Marina, 243, 08907 L'Hospitalet de Llobregat, Barcelona, España",+34 661 69 11 00,fontanero,L'Hospitalet de Llobregat,4.7,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/fontanero-en-bellvitge/,
Electricista Pompeya 24h,"Av. de Catalunya, 73, 77, 08905 L'Hospitalet de Llobregat, Barcelona, España",+34 632 92 35 29,fontanero,L'Hospitalet de Llobregat,4.9,0,False,,,Fontanero,demo_ready,2026-01-03 01:27,,https://mack009seo.github.io/localweb-sites/electricista-pompeya-24h/,
"Fontanero,electricista,pintor, reformas, lampista","Plaça de Provençana, 08902 L'Hospitalet de Llobregat, Barcelona, España",+34 602 80 99 41,fontanero,L'Hospitalet de Llobregat,5,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/fontaneroelectricistapintor-reformas-lampista/,
Macris,"Carrer de les Aigües del Llobregat, 51, 08905 L'Hospitalet de Llobregat, Barcelona, España",+34 934 49 13 22,fontanero,L'Hospitalet de Llobregat,5,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/macris/,
Electricista Pompeya 24h,"Av. de Catalunya, 73, 77, 08905 L'Hospitalet de Llobregat, Barcelona, España",+34 632 92 35 29,electricista,L'Hospitalet de Llobregat,4.9,0,False,,,Electricista,demo_ready,2026-01-03 01:27,,https://mack009seo.github.io/localweb-sites/electricista-pompeya-24h/,
El Manetes Del Centre,"Carrer de l'Església, 55, Local 1, 08901 L'Hospitalet de Llobregat, Barcelona, España",+34 619 90 01 81,electricista,L'Hospitalet de Llobregat,4.9,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/el-manetes-del-centre/,
Instalaciones Lamai,"Carrer Martí Codolar, 47, 08902 L'Hospitalet de Llobregat, Barcelona, España",+34 602 60 06 86,electricista,L'Hospitalet de Llobregat,5,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/instalaciones-lamai/,
Instalaciones DFG,"08901 L'Hospitalet de Llobregat, Barcelona, España",+34 684 14 93 14,electricista,L'Hospitalet de Llobregat,5,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/instalaciones-dfg/,
O P Instal Sl | Electricista Hospitalet de Llobregat,"Carrer de la Igualtat, 30, 08902 L'Hospitalet de Llobregat, Barcelona, España",+34 640 51 30 60,electricista,L'Hospitalet de Llobregat,0,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/o-p-instal-sl-electricista-hospitalet-de-llobregat/,
Conductos de Aire Acondicionado los Gallegos S.L.,"Carrer Josep Maria de Sagarra, 41, 08901 L'Hospitalet de Llobregat, Barcelona, España",+34 932 61 52 80,aire acondicionado,L'Hospitalet de Llobregat,5,0,False,,,Contratista de aire acondicionado,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/conductos-de-aire-acondicionado-los-gallegos-sl/,
Solarnavy | Instalación de paneles solares,,,instalador placas solares,L'Hospitalet de Llobregat,5,0,False,,,Solar energy company,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/solarnavy-instalación-de-paneles-solares/,
El Pintor del Barrio,"Rambla de la Marina, 341, 08907 L'Hospitalet de Llobregat, Barcelona, España",+34 626 20 66 36,pintor decorator,L'Hospitalet de Llobregat,5,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/el-pintor-del-barrio/,
Pintures i Deco L Hospitalet. Tienda de pinturas y decoración.,"Carrer de la Muntanya, 6, 08901 L'Hospitalet de Llobregat, Barcelona, España",+34 683 14 45 50,pintor decorator,L'Hospitalet de Llobregat,4.6,0,False,,,Pintura,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/pintures-i-deco-l-hospitalet-tienda-de-pinturas-y-decoración/,
Pintores La remunta,"Carrer Major, 78, 08901 L'Hospitalet de Llobregat, Barcelona, España",+34 680 91 50 13,pintor decorator,L'Hospitalet de Llobregat,0,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/pintores-la-remunta/,
PINTOR MORA SL,"Carrer de Covadonga, 9, 08906 L'Hospitalet de Llobregat, Barcelona, España",+34 666 55 52 34,pintor decorator,L'Hospitalet de Llobregat,0,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/pintor-mora-sl/,
Pintores Sant Josep,"Riera de la Creu, 23, 08901 L'Hospitalet de Llobregat, Barcelona, España",+34 612 26 26 90,pintor decorator,L'Hospitalet de Llobregat,0,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/pintores-sant-josep/,
Decoart,"Carr. de Collblanc, 08906 L'Hospitalet de Llobregat, Barcelona, España",,pintor decorator,L'Hospitalet de Llobregat,0,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/decoart/,
Wally Pinturas,"Carrer de Rosalia de Castro, 7, 08901 L'Hospitalet de Llobregat, Barcelona, España",,pintor decorator,L'Hospitalet de Llobregat,0,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/wally-pinturas/,
Florworld Garden Services S L,"Gran Via, 08908 Hospitalet De Llobregat ( L'), Barcelona, España",+34 932 63 77 54,jardinero,L'Hospitalet de Llobregat,0,0,False,,,Jardinero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/florworld-garden-services-s-l/,
novanatura.jardineria,,+34 622 15 94 11,jardinero,L'Hospitalet de Llobregat,0,0,False,,,Jardinero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/novanaturajardineria/,
Floristeria Jardinet,"Carrer d'Enric Prat de la Riba, 162, 08901 L'Hospitalet de Llobregat, Barcelona, España",+34 933 37 99 80,jardinero,L'Hospitalet de Llobregat,3.8,0,False,,,Floristería,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/floristeria-jardinet/,
Cañamas Jardins,,+34 646 84 11 46,jardinero,L'Hospitalet de Llobregat,0,0,False,,,Jardinero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/cañamas-jardins/,
Agencia Font,"Carrer Font, 64, 08905 L'Hospitalet de Llobregat, Barcelona, España",+34 602 09 86 81,jardinero,L'Hospitalet de Llobregat,5,0,False,,,Jardinero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/agencia-font/,
Floristeria Grow Carmen,"Carrer de Marcel·lí Esquius, 59, 08905 L'Hospitalet de Llobregat, Barcelona, España",+34 934 37 05 61,jardinero,L'Hospitalet de Llobregat,4.6,0,False,,,Floristería,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/floristeria-grow-carmen/,
Jose Antonio Martinez López,,+34 648 52 82 06,jardinero,L'Hospitalet de Llobregat,0,0,False,,,Jardinero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/jose-antonio-martinez-lópez/,
Cerrajero Alex L'Hospitalet de Llobregat,"Carrer de Vallparda, 08904 L'Hospitalet de Llobregat, Barcelona, España",+34 680 14 96 70,cerrajero,L'Hospitalet de Llobregat,5,0,False,,,Servei de serralleria d’urgències,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/cerrajero-alex-lhospitalet-de-llobregat/,
Cerrajería Tecnillaves,"Carrer d'Enric Prat de la Riba, 222, 08901 L'Hospitalet de Llobregat, Barcelona, España",+34 666 63 65 53,cerrajero,L'Hospitalet de Llobregat,5,0,False,,,Botiga de panys,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/cerrajería-tecnillaves/,
Limpiezas Hospitalet de Llobregat - Empresa de limpieza,"Carrer de l'Ermita de Bellvitge, 43, 08907 L'Hospitalet de Llobregat, Barcelona, España",+34 644 57 12 07,limpieza fachadas,L'Hospitalet de Llobregat,5,0,False,,,Servicios de limpieza,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/limpiezas-hospitalet-de-llobregat-empresa-de-limpieza/,
mcnet servicios de limpieza integrales,"Av. Electricitat, 6, local 5, 08906 L'Hospitalet de Llobregat, Barcelona, España",+34 934 37 39 65,limpieza fachadas,L'Hospitalet de Llobregat,4.6,0,False,,,Servicios de limpieza,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/mcnet-servicios-de-limpieza-integrales/,
FACHADAS Y BAJANTES S.L,"Carrer Llobregat, 53, 08904 L'Hospitalet de Llobregat, Barcelona, España",+34 663 90 44 47,limpieza fachadas,L'Hospitalet de Llobregat,0,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/fachadas-y-bajantes-sl/,
"On Interiorisme, cuines i banys, SL","Pça. de Bac de Roda, 9, 08915 Badalona, Barcelona, España",+34 934 65 54 73,reformas cocina,Badalona,4.6,0,False,,,Reformas de cocinas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/on-interiorisme-cuines-i-banys-sl/,
G&G Reformas,,+34 621 01 29 74,reformas cocina,Badalona,4.8,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/gg-reformas/,
"totdecor tot cuina, s.l","Av. de Llenguadoc, 39, 08915 Badalona, Barcelona, España",+34 933 99 76 89,reformas cocina,Badalona,3.8,0,False,,,Fábrica de muebles,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/totdecor-tot-cuina-sl/,
G&G Reformas,,+34 621 01 29 74,reformas baño,Badalona,4.8,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/gg-reformas/,
G&G Reformas,,+34 621 01 29 74,reformas integrales,Badalona,4.8,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/gg-reformas/,
Reformas Integrales Badalona Mario,,+34 612 47 02 51,reformas integrales,Badalona,3,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/reformas-integrales-badalona-mario/,
Ensalum,"Carrer del General Weyler, 117, 08912 Badalona, Barcelona, España",+34 933 83 96 53,carpintero aluminio,Badalona,4,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/ensalum/,
Carpinteria De Aluminio Cristaleria TJ,"Carrer de Rius i Taulet, 13, 08913 Badalona, Barcelona, España",+34 933 83 39 58,carpintero aluminio,Badalona,4.6,0,False,,,Carpintero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/carpinteria-de-aluminio-cristaleria-tj/,
Aluminios Y metales Realce S.L.U,"Carrer Sant Agustí, 2, Local esquinero, 08915 Badalona, Barcelona, España",+34 661 07 85 07,carpintero aluminio,Badalona,4.8,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/aluminios-y-metales-realce-slu/,
Carpintería Metálica Imi,"Carrer de Ramon Martí Alsina, 48, 08911 Badalona, Barcelona, España",+34 933 99 02 01,carpintero aluminio,Badalona,4.5,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/carpintería-metálica-imi/,
Moder Alum,"Carrer de Chopin, 27, 29, 08917 Badalona, Barcelona, España",+34 933 99 11 05,carpintero aluminio,Badalona,3.2,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/moder-alum/,
Carpintería de aluminio y hierro ALUCLAVER,"Carrer de Venus, 13, 08914 Badalona, Barcelona, España",+34 933 83 82 08,carpintero aluminio,Badalona,5,0,False,,,Taller de metalurgia,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/carpintería-de-aluminio-y-hierro-aluclaver/,
BADAMETAL,"Carrer de Nàpols, 42, 08914 Badalona, Barcelona, España",+34 933 99 41 43,carpintero aluminio,Badalona,4.2,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/badametal/,
Alfonso Montilla Corral,"Carrer de Liszt, 69, 08917 Badalona, Barcelona, España",+34 933 83 90 08,carpintero aluminio,Badalona,3.7,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/alfonso-montilla-corral/,
Carpintería keysi’s alumini,"Carrer del Mariscal Cabanes, 08918 Badalona, Barcelona, España",+34 607 79 89 29,carpintero aluminio,Badalona,5,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/carpintería-keysis-alumini/,
Juan Francisco Soriano Martínez,"Carrer de Llefià, 39, 08912 Badalona, Barcelona, España",+34 933 88 89 58,carpintero aluminio,Badalona,3,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/juan-francisco-soriano-martínez/,
Fontanero,"Carrer Pirineus, 3, 08915 Badalona, Barcelona, España",+34 604 99 18 83,fontanero,Badalona,4.9,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/fontanero/,
fontanero marroquí,,+34 678 75 25 48,fontanero,Badalona,5,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/fontanero-marroquí/,
Universal Assistance,"Carrer de Coll i Pujol, 143, 08917 Badalona, Barcelona, España",+34 610 84 71 46,fontanero,Badalona,4.2,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/universal-assistance/,
FONTANERO Y ELECTRICISTA MARC,"Carrer de l'Abat Odó, 62, Sant Andreu, 08030 Barcelona, España",+34 624 49 99 05,fontanero,Badalona,5,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/fontanero-y-electricista-marc/,
ELECTRICISTAS BADALONA,"Carrer de la Quintana Alta, 63, 08911 Badalona, Barcelona, España",+34 634 97 28 44,electricista,Badalona,5,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/electricistas-badalona/,
